PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Huang, HH; Liu, WH; Liu, ZF				Huang, Haihong; Liu, Weihao; Liu, Zhifeng			An additive manufacturing-based approach for carbon fiber reinforced polymer recycling	CIRP ANNALS-MANUFACTURING TECHNOLOGY			English	Article						Recycling; Composite; Additive manufacturing		The vast Carbon Fiber Reinforced Polymer (CFRP) waste accumulated is pressing for its recycling. A novel recycling approach, which integrated carbon fiber reclamation and composite additive manufacturing, is proposed to process the CFRP waste into three Dimensional (3D) parts. In the experiments, the CFRP waste was recycled by supercritical n-butanol to yield reclaimed Carbon Fibers (rCFs). The rCFs were ground by a ball mill, mixed with Poly-Ether-Ether-Ketone (PEEK) powder and then extruded to the composite filament. The filament was fed to the Fused Deposition Modeling (FDM) printer to fabricate 3D parts. Mechanical and electrical properties of the parts were investigated and compared with that of pure PEEK. The results illustrate that the additive manufacturing-based approach offers a potential strategy to reuse the CFRP waste and rapidly fabricate the rCF reinforced plastics with complex geometry and function. (C) 2020 CIRP. Published by Elsevier Ltd. All rights reserved.	[Huang, Haihong; Liu, Weihao; Liu, Zhifeng] Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China	Hefei University of Technology	Huang, HH (corresponding author), Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China.	huanghaihong@hfut.edu.cn		Liu, Weihao/0000-0002-7031-0405; Huang, Haihong/0000-0001-9382-1059	National Natural Science Foundation of China [51722502, 51775162]	National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))	This work was financially supported by the National Natural Science Foundation of China (51722502 and 51775162).		12	11	11	7	32	ELSEVIER	AMSTERDAM	RADARWEG 29a, 1043 NX AMSTERDAM, NETHERLANDS	0007-8506	1726-0604		CIRP ANN-MANUF TECHN	CIRP Ann-Manuf. Technol.		2020	69	1					33	36		10.1016/j.cirp.2020.04.085	http://dx.doi.org/10.1016/j.cirp.2020.04.085			4	Engineering, Industrial; Engineering, Manufacturing	Science Citation Index Expanded (SCI-EXPANDED)	Engineering	NA7XM					2022-12-01	WOS:000560031000009
J	Liu, WH; Huang, HH; Zhu, LB; Liu, ZF				Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng			Integrating carbon fiber reclamation and additive manufacturing for	COMPOSITES PART B-ENGINEERING			English	Article						A; polymer-matrix composites (PMCs); E; Recycling; E; Additive manufacturing; B; Physical properties	REINFORCED POLYMERS; MECHANICAL-PROPERTIES; COMPOSITES; PERFORMANCE	There is a large amount of carbon fiber reinforced polymer (CFRP) waste generated annually, mainly due to the difficulty in recycling CFRPs. This work presents a novel additive manufacturing-based recycling approach that can be used to reclaim CFRP waste and to re-manufacture the carbon fiber into 3D printed composite parts. A trial of this idea was set up, in which carbon fiber was first reclaimed from CFRP waste using supercritical fluid and then mixed with Poly-Ether-Ether-Ketone to produce composite filaments. The filaments were then fed into a printer of fused deposition modeling (i.e., a 3D printing process) and the recycled CFRP parts were fabricated. The engineering application-oriented tests demonstrate that the reclaimed carbon fiber can modify the performances of 3D printed part effectively in terms of mechanical strength, electrical conductivity, heat conduction and wear resistance. This work illustrates that the additive manufacturing-based recycling approach offers a possible strategy to recycle CFRP waste and fabricate high-performance engineering parts with complex geometries, which are economical and environmentally friendly.	[Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng] Hefei Univ Technol, Sch Mech Engn, Hefei 230009, Peoples R China; [Liu, Weihao; Huang, Haihong; Zhu, Libin; Liu, Zhifeng] Hefei Univ Technol, Key Lab Green Design & Mfg Mech Ind, Hefei 230009, Peoples R China	Hefei University of Technology; Hefei University of Technology	Huang, HH (corresponding author), Hefei Univ Technol, Sch Mech Engn, Hefei 230000, Anhui, Peoples R China.	huanghaihong@hfut.edu.cn		Liu, Weihao/0000-0002-7031-0405	National Natural Science Foundation of China [51775162, 51722502]	National Natural Science Foundation of China(National Natural Science Foundation of China (NSFC))	This work was financially supported by the National Natural Science Foundation of China (51775162 and 51722502)		42	13	13	8	36	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1359-8368	1879-1069		COMPOS PART B-ENG	Compos. Pt. B-Eng.	JUN 15	2021	215								108808	10.1016/j.compositesb.2021.108808	http://dx.doi.org/10.1016/j.compositesb.2021.108808		MAR 2021	17	Engineering, Multidisciplinary; Materials Science, Composites	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Materials Science	RT8SV					2022-12-01	WOS:000644726600001
J	Mohammed, MI; Wilson, D; Gomez-Kervin, E; Tang, B; Wang, JF				Mohammed, Mazher Iqbal; Wilson, Daniel; Gomez-Kervin, Eli; Tang, Bin; Wang, Jinfeng			Investigation of Closed-Loop Manufacturing with Acrylonitrile Butadiene Styrene over Multiple Generations Using Additive Manufacturing	ACS SUSTAINABLE CHEMISTRY & ENGINEERING			English	Article						ABS; Recycled; 3D printing; Mechanical; Polymer; FFF	LIFE-CYCLE ANALYSIS; MECHANICAL-PROPERTIES; RECYCLED ABS; VIRGIN; DEGRADATION; POLYMER	This study examines the changes in physical and mechanical properties of acrylonitrile butadiene styrene (ABS) when manufactured using fused filament fabrication (FFF) 3D printing across multiple recycling phases. Tests were carried out initially using virgin ABS, which subsequently underwent two successive closed-loop filament extrusion and 3D printing phases. For each endpoint manufacturing phase, samples were examined to monitor the changes in thermal characteristics, mechanical properties, and polymer degradation. It was found that there was a series of physical changes of the polymer, which resulted in reduced melt flow, increased glass transition temperature, and the generation of carbonyl groups, which may be attributed to the thermal oxidative breakdown of both styrene acrylonitrile (SAN) and butadiene components of ABS. The recycled polymer also showed a reduction in both tensile and compressive strengths compared to the virgin material. However, compared to one-time recycled ABS, two-times recycled ABS showed increased strength, implying that increased recycle state of the polymer may be advantageous with respect to mechanical properties and potential manufacturing applications. This study ultimately demonstrates the potential to leverage additive manufacturing (AM) toward a closed-loop manufacturing paradigm by using waste ABS across several life cycles.	[Mohammed, Mazher Iqbal] Deakin Univ, Sch Med, 75 Pigdons Rd, Geelong, Vic 3216, Australia; [Tang, Bin; Wang, Jinfeng] Deakin Univ, Inst Frontier Mat, 75 Pigdons Rd, Geelong, Vic 3216, Australia; [Mohammed, Mazher Iqbal; Wilson, Daniel; Gomez-Kervin, Eli] Deakin Univ, Sch Engn, 75 Pigdons Rd, Geelong, Vic 3216, Australia	Deakin University; Deakin University; Deakin University	Mohammed, MI (corresponding author), Deakin Univ, Sch Med, 75 Pigdons Rd, Geelong, Vic 3216, Australia.; Mohammed, MI (corresponding author), Deakin Univ, Sch Engn, 75 Pigdons Rd, Geelong, Vic 3216, Australia.	iqy2004@hotmail.com	Wang, Jinfeng/AAJ-1949-2020; Tang, Bin/L-4408-2014	Tang, Bin/0000-0001-7111-8223; Wang, Jinfeng/0000-0002-2568-2170; Mohammed, Mazher/0000-0003-2177-9845					49	30	30	3	27	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	2168-0485			ACS SUSTAIN CHEM ENG	ACS Sustain. Chem. Eng.	AUG 19	2019	7	16					13955	13969		10.1021/acssuschemeng.9b02368	http://dx.doi.org/10.1021/acssuschemeng.9b02368			29	Chemistry, Multidisciplinary; Green & Sustainable Science & Technology; Engineering, Chemical	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Science & Technology - Other Topics; Engineering	IS5DT					2022-12-01	WOS:000482173100035
J	Vidakis, N; Petousis, M; Maniadi, A				Vidakis, Nectarios; Petousis, Markos; Maniadi, Athena			Sustainable Additive Manufacturing: Mechanical Response of High-Density Polyethylene over Multiple Recycling Processes	RECYCLING			English	Article						additive manufacturing; 3D printing; recycling; high density polyethylene (HDPE); material characterization	HDPE; DEGRADATION; BEHAVIOR; SAFETY; CRATES; VIRGIN	Polymer recycling is nowadays in high-demand due to an increase in polymers demand and production. Recycling of such materials is mostly a thermomechanical process that modifies their overall mechanical behavior. The present research work focuses on the recyclability of high-density polyethylene (HDPE), one of the most recycled materials globally, for use in additive manufacturing (AM). A thorough investigation was carried out to determine the effect of the continuous recycling on mechanical, structural, and thermal responses of HDPE polymer via a process that isolates the thermomechanical treatment from other parameters such as aging, contamination, etc. Fused filament fabrication (FFF) specimens were produced from virgin and recycled materials and were experimentally tested and evaluated in tension, flexion, impact, and micro-hardness. A thorough thermal and morphological analysis was also performed. The overall results of this study show that the mechanical properties of the recycled HDPE polymer were generally improved over the recycling repetitions for a certain number of recycling steps, making the HDPE recycling a viable option for circular use. Repetitions two to five had the optimum overall mechanical behavior, indicating a significant positive impact of the HDPE polymer recycling aside from the environmental one.	[Vidakis, Nectarios; Petousis, Markos] Hellen Mediterranean Univ, Mech Engn Dept, Iraklion 71410, Crete, Greece; [Maniadi, Athena] Univ Crete, Dept Mat Sci & Technol, Iraklion 70013, Crete, Greece	Hellenic Mediterranean University; University of Crete	Petousis, M (corresponding author), Hellen Mediterranean Univ, Mech Engn Dept, Iraklion 71410, Crete, Greece.	vidakis@hmu.gr; markospetousis@hmu.gr; maniadi@materials.uoc.gr		Petousis, Markos/0000-0003-1312-7898; Maniadi, Athina/0000-0002-3729-2380					25	10	10	4	4	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2313-4321		RECYCLING-BASEL	Recycling-Basel	MAR	2021	6	1							4	10.3390/recycling6010004	http://dx.doi.org/10.3390/recycling6010004			14	Green & Sustainable Science & Technology	Emerging Sources Citation Index (ESCI)	Science & Technology - Other Topics	2L1TH		gold			2022-12-01	WOS:000816804000001
J	Vidakis, N; Petousis, M; Maniadi, A; Koudoumas, E; Vairis, A; Kechagias, J				Vidakis, Nectarios; Petousis, Markos; Maniadi, Athina; Koudoumas, Emmanuel; Vairis, Achilles; Kechagias, John			Sustainable Additive Manufacturing: Mechanical Response of Acrylonitrile-Butadiene-Styrene over Multiple Recycling Processes	SUSTAINABILITY			English	Article						additive manufacturing; 3D printing; recycling; acrylonitrile-butadiene-styrene (ABS); material characterization	POLYMER; VIRGIN; FILAMENT; BLENDS; ABS; TEREPHTHALATE; POLYETHYLENE; IMPACT; LOOP	Sustainability in additive manufacturing refers mainly to the recycling rate of polymers and composites used in fused filament fabrication (FFF), which nowadays are rapidly increasing in volume and value. Recycling of such materials is mostly a thermomechanical process that modifies their overall mechanical behavior. The present research work focuses on the acrylonitrile-butadiene-styrene (ABS) polymer, which is the second most popular material used in FFF-3D printing. In order to investigate the effect of the recycling courses on the mechanical response of the ABS polymer, an experimental simulation of the recycling process that isolates the thermomechanical treatment from other parameters (i.e., contamination, ageing, etc.) has been performed. To quantify the effect of repeated recycling processes on the mechanic response of the ABS polymer, a wide variety of mechanical tests were conducted on FFF-printed specimens. Regarding this, standard tensile, compression, flexion, impact and micro-hardness tests were performed per recycle repetition. The findings prove that the mechanical response of the recycled ABS polymer is generally improved over the recycling repetitions for a certain number of repetitions. An optimum overall mechanical behavior is found between the third and the fifth repetition, indicating a significant positive impact of the ABS polymer recycling, besides the environmental one.	[Vidakis, Nectarios; Petousis, Markos; Vairis, Achilles] Hellen Mediterranean Univ, Mech Engn Dept, Iraklion 71410, Crete, Greece; [Maniadi, Athina] Univ Crete, Dept Mat Sci & Technol, Iraklion 70013, Crete, Greece; [Koudoumas, Emmanuel] Hellen Mediterranean Univ, Elect Engn Dept, Iraklion 71410, Crete, Greece; [Kechagias, John] Univ Thessaly, Gen Dept, Larisa 41500, Greece	Hellenic Mediterranean University; University of Crete; Hellenic Mediterranean University; University of Thessaly	Petousis, M (corresponding author), Hellen Mediterranean Univ, Mech Engn Dept, Iraklion 71410, Crete, Greece.	vidakis@hmu.gr; markospetousis@hmu.gr; maniadi@materials.uoc.gr; koudoumas@hmu.gr; vairis@hmu.gr; jkechag@uth.gr	Maniadi, Athina/AAY-8726-2021; Koudoumas, Emmanouil/GXW-0969-2022; Kechagias, John D./S-7998-2019; Koudoumas, Emmanuel/AAM-1057-2021	Maniadi, Athina/0000-0002-3729-2380; Koudoumas, Emmanouil/0000-0002-2995-6992; Kechagias, John D./0000-0002-5768-4285; Koudoumas, Emmanuel/0000-0002-2995-6992; Petousis, Markos/0000-0003-1312-7898					52	31	31	7	21	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2071-1050		SUSTAINABILITY-BASEL	Sustainability	MAY	2020	12	9							3568	10.3390/su12093568	http://dx.doi.org/10.3390/su12093568			15	Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Environmental Sciences & Ecology	LU0TK		gold			2022-12-01	WOS:000537476200067
J	Toncheva, A; Brison, L; Dubois, P; Laoutid, F				Toncheva, Antoniya; Brison, Loic; Dubois, Philippe; Laoutid, Fouad			Recycled Tire Rubber in Additive Manufacturing: Selective Laser Sintering for Polymer-Ground Rubber Composites	APPLIED SCIENCES-BASEL			English	Article						recycled tire rubber; polymer composites; polyamide; thermoplastic polyurethane; additive manufacturing; 3D printing	WASTE TIRE; MANAGEMENT; SIZE	Natural and synthetic rubber is gaining increased interest in various industrial applications and daily life sectors (automotive industry, acoustic and electrical isolators, adhesives, impermeable surfaces, and others) due to its remarkable physicomechanical properties, excellent durability, and abrasive resistance. These great characteristics are accompanied by some recycling difficulties of the final products, particularly originated from the tire waste rubber industry. In this study, recycled tire rubber was incorporated in polymer matrices using selective laser sintering as 3D printing technology. Two polymers were used-polyamide and thermoplastic polyurethane, for their rigid and elastomeric properties, respectively. Polymer composites containing various tire powder amounts, up to 40 wt.%, were prepared by physical blending. The final materials' morphological characteristics, mechanical properties, and thermal stability were evaluated. The proposed ambitious additive manufacturing approach looked over also some of the major aspects to be considered during the 3D printing procedure. In addition, examples of printed prototypes with potential applications were also proposed revealing the potential of the recycled tire rubber-loaded composites.	[Toncheva, Antoniya; Brison, Loic; Dubois, Philippe; Laoutid, Fouad] Univ Mons UMONS, Mat Nova Res Ctr, Polymer & Composite Mat Unit, Nicolas Copernic 3, B-7000 Mons, Belgium	University of Mons	Laoutid, F (corresponding author), Univ Mons UMONS, Mat Nova Res Ctr, Polymer & Composite Mat Unit, Nicolas Copernic 3, B-7000 Mons, Belgium.	antoniya.toncheva@materianova.be; loic.brison@materianova.be; philippe.dubois@umons.ac.be; fouad.laoutid@materianova.be		Dubois, Philippe/0000-0003-1534-1564; laoutid, fouad/0000-0003-1284-0974	Greener fund; King Baudouin Foundation (Belgium) (2019-2020) through the VALPREMA-3D project	Greener fund; King Baudouin Foundation (Belgium) (2019-2020) through the VALPREMA-3D project	This research was supported by the Greener fund and King Baudouin Foundation (Belgium) (2019-2020) through the VALPREMA-3D project.		27	7	7	8	19	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2076-3417		APPL SCI-BASEL	Appl. Sci.-Basel	SEP	2021	11	18							8778	10.3390/app11188778	http://dx.doi.org/10.3390/app11188778			14	Chemistry, Multidisciplinary; Engineering, Multidisciplinary; Materials Science, Multidisciplinary; Physics, Applied	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Engineering; Materials Science; Physics	UV3YV		gold			2022-12-01	WOS:000699419200001
C	Morsidi, M; Mativenga, PT; Fahad, M		Kerrigan, K; Mativenga, P; ElDessouky, H		Morsidi, Maziri; Mativenga, Paul T.; Fahad, Muhammad			Fused Deposition Modelling Filament with Recyclate Fibre Reinforcement	2ND CIRP CONFERENCE ON COMPOSITE MATERIAL PARTS MANUFACTURING	Procedia CIRP		English	Proceedings Paper	2nd CIRP Conference on Composite Material Parts Manufacturing (CIRP-CCMPM)	OCT 10-11, 2019	Univ Sheffield, Adv Mfg Res Ctr, Catcliffe, ENGLAND	Int Acad Prod Engn	Univ Sheffield, Adv Mfg Res Ctr	Recycling; Additive manufacturing; Sustainabile development; Fused Deposition Modelling; Fibre reinforced polymers	CARBON-FIBER; GLASS-FIBER; POLYMER COMPOSITES; PYROLYSIS; RECOVERY	The legacy of composite waste from manufacturing processes or end of life products is a growing and urgent challenge to be solved. An emerging idea is to incorporate composite recyclate in additive manufacturing. The focus of this work was to develop this capability and research the functional performance of additive manufactured parts through incorporating recyclate fibre in fused deposition modeling material. The research focused on additive manufacturing with virgin acrylonitrile butadiene styrene (ABS) and recyclate fibre reinforced ABS. The effect on tensile strength for different fibres (recycled by pyrolysis and mechanical process) was evaluated. Tensile test result showed an improvement by 43%, 49% and 69% when ABS was reinforced with mechanically recycled fibre, Pyrolysis recycled fibre and virgin carbon fibre respectively. The work identified the key potential for additive manufacturing to utilize recyclate and functional benefits as well as the areas for further scientific research. This is important for new innovations for use of composite recyclate to improve the functionality of additively manufactured parts. (C) 2020 The Authors. Published by Elsevier B.V.	[Morsidi, Maziri; Mativenga, Paul T.; Fahad, Muhammad] Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester M13 9PL, Lancs, England; [Morsidi, Maziri] Univ Teknol Brunei, Jalan Tungku Link, BE-1410 Gadong, Brunei	University of Manchester; University of Technology Brunei	Morsidi, M (corresponding author), Univ Manchester, Sch Mech Aerosp & Civil Engn, Manchester M13 9PL, Lancs, England.; Morsidi, M (corresponding author), Univ Teknol Brunei, Jalan Tungku Link, BE-1410 Gadong, Brunei.	maziri.hajimorsidi@postgrad.manchester.ac.uk		Fahad, Muhammad/0000-0002-7349-8693	Henry Royce Institute for Advanced Materials through EPSRC [EP/R00661X/1, EP/P025021/1, EP/P025498/1]; EPSRC [EP/P025021/1, EP/S019367/1] Funding Source: UKRI	Henry Royce Institute for Advanced Materials through EPSRC(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC)); EPSRC(UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC))	This work was supported by the Henry Royce Institute for Advanced Materials, funded through EPSRC grants EP/R00661X/1, EP/P025021/1 and EP/P025498/1.		30	2	2	1	4	ELSEVIER	AMSTERDAM	Radarweg 29, PO Box 211, AMSTERDAM, NETHERLANDS	2212-8271			PROC CIRP			2019	85						353	358		10.1016/j.procir.2019.09.026	http://dx.doi.org/10.1016/j.procir.2019.09.026			6	Engineering, Manufacturing; Materials Science, Composites	Conference Proceedings Citation Index - Science (CPCI-S)	Engineering; Materials Science	BP8UB		Green Published, gold			2022-12-01	WOS:000567715100059
J	Sanchez, FAC; Boudaoud, H; Hoppe, S; Camargo, M				Sanchez, Fabio A. Cruz; Boudaoud, Hakim; Hoppe, Sandrine; Camargo, Mauricio			Polymer recycling in an open-source additive manufacturing context: Mechanical issues	ADDITIVE MANUFACTURING			English	Article						3D printing; Plastic recycling; Mechanical properties; PLA; Open source additive manufacturing; RepRap		Nowadays, the low recycling rate of polymers is still a challenge to humankind due to energy, economic and logistical issues. In the context of additive manufacturing, there is an exponential use of thermoplastic materials in the industrial and public open-source additive manufacturing sector, leading to an increase in global polymer consumption and waste generation. However, the coupling of the open-source 3D printers with polymer processing could potentially offer the basis for a new paradigm of distributed recycling process. It could be a complementary alternative to the traditional paradigm of centralized recycling of polymers, which is often uneconomical and energy intensive due to transportation embodied energy. In order to achieve this goal, a first step is to prove the technical feasibility to recycle thermoplastic material intended for open-source 3D printing feedstock. The contribution of the present study is twofold: first, a general methodology to evaluate the recyclability of thermoplastics used as feedstock in open-source 3D printing machines is proposed. Then, the proposed methodology is applied to the recycling study of polylactic acid (PLA) material addressed to the fused filament fabrication (FFF) technique, which is currently the most widely used. The main results of this application contribute to the understanding of the influence of the material's physico-chemical degradation on its mechanical properties as well as its potential distributed recyclability. (C) 2017 Elsevier B.V. All rights reserved.	[Sanchez, Fabio A. Cruz; Boudaoud, Hakim; Camargo, Mauricio] Univ Lorraine, ERPI, F-54000 Nancy, France; [Hoppe, Sandrine] Univ Lorraine, LRGP, F-54000 Nancy, France	Universite de Lorraine; Universite de Lorraine	Sanchez, FAC (corresponding author), Univ Lorraine, ERPI, F-54000 Nancy, France.	fabio-alberto.cruz-sanchez@univ-lorraine.fr	Sanchez, Fabio A. Cruz/AAW-8943-2020; Hoppe, Sandrine/AAJ-5951-2020	Sanchez, Fabio A. Cruz/0000-0001-8529-5327; Camargo, Mauricio/0000-0003-3867-2438; HOPPE, sandrine/0000-0003-3460-4585					110	89	89	6	63	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	2214-8604	2214-7810		ADDIT MANUF	Addit. Manuf.	OCT	2017	17						87	105		10.1016/j.addma.2017.05.013	http://dx.doi.org/10.1016/j.addma.2017.05.013			19	Engineering, Manufacturing; Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Materials Science	VH8VR					2022-12-01	WOS:000457239900009
J	Schneevogt, H; Stelzner, K; Yilmaz, B; Abali, BE; Klunker, A; Vollmecke, C				Schneevogt, Helge; Stelzner, Kevin; Yilmaz, Buket; Abali, Bilen Emek; Klunker, Andre; Voellmecke, Christina			Sustainability in additive manufacturing: Exploring the mechanical potential of recycled PET filaments	COMPOSITES AND ADVANCED MATERIALS			English	Article						sustainability; additive manufacturing; architectured materials; tensile experiments		Herein, the effects of recycled polymers on the mechanical properties of additively manufactured specimens, specifically those derived by fused deposition modelling, are determined. The intention is to investigate how 3D-printing can be more sustainable and how recycled polymers compare against conventional ones. Initially, sustainability is discussed in general and more sustainable materials such as recycled filaments and biodegradable filaments are introduced. Subsequently, a comparison of the recycled filament recycled Polyethylene terephthalate (rePET) and a conventional Polyethylene terephthalate with glycol (PETG) filament is drawn upon their mechanical performance under tension, and the geometry and slicing strategy for the 3D-printed specimens is discussed. Finally, the outcomes from the experiments are compared against numerically determined results and conclusions are drawn.	[Schneevogt, Helge; Stelzner, Kevin; Yilmaz, Buket; Klunker, Andre; Voellmecke, Christina] Tech Univ Berlin, Inst Mech, Sch 5, Stabil & Failure Functionally Optimized Struct Gr, Sekr MS2,Einsteinufer 5, D-10587 Berlin, Germany; [Abali, Bilen Emek] Uppsala Univ, Div Appl Mech, Dept Mat Sci & Engn, Uppsala, Sweden	Technical University of Berlin; Uppsala University	Vollmecke, C (corresponding author), Tech Univ Berlin, Inst Mech, Sch 5, Stabil & Failure Functionally Optimized Struct Gr, Sekr MS2,Einsteinufer 5, D-10587 Berlin, Germany.	christina.voellmecke@tu-berlin.de	Abali, Bilen Emek/Q-4114-2017	Abali, Bilen Emek/0000-0002-8735-6071	Open Access Publication Fund of TU Berlin	Open Access Publication Fund of TU Berlin	The author(s) disclosed receipt of the following financial support for the research, authorship, and/or publication of this article: We acknowledge support by the Open Access Publication Fund of TU Berlin.		30	4	4	10	29	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND		2634-9833		COMPOS ADV MATER	Compos. Adv. Mater.	APR 13	2021	30								26349833211000063	10.1177/26349833211000063	http://dx.doi.org/10.1177/26349833211000063			8	Materials Science, Composites	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science	RW0VL		Green Published, gold			2022-12-01	WOS:000646242500001
J	Pernica, J; Vodak, M; Sarocky, R; Sustr, M; Dostal, P; Cerny, M; Dobrocky, D				Pernica, Jakub; Vodak, Matej; Sarocky, Robert; Sustr, Michal; Dostal, Petr; Cerny, Michal; Dobrocky, David			Mechanical Properties of Recycled Polymer Materials in Additive Manufacturing	MANUFACTURING TECHNOLOGY			English	Article						Additive Manufacturing; Polymer Materials; ASTM D638; Recycled Materials; Material Properties		The publication focuses on tensile strength testing of samples produced by additive Fused Filament Fabrication technology. Four materials PLA, rPLA, PETG and rPETG were tested. The polymeric materials are PLA (polylactic acid), PETG (polyethylene terephthalate glucol) and recyclates of these materials. The materials were made into samples for tensile testing according to ASTM D638. Tensile diagrams were created from the measured data. Statistical processing and comparison of the measured data is performed in the publication. Two groups of materials were compared. Recycled polymeric materials and virgin polymeric materials. In the discussion, a comparison of the mechanical properties of recycled materials for 3D printing versus virgin materials for 3D printing by Fused Filament Fabrication technology is made.	[Pernica, Jakub; Vodak, Matej; Sarocky, Robert; Sustr, Michal; Dostal, Petr; Cerny, Michal] Mendel Univ Brno, Fac AgriSci, Zemedelska 1, Brno 61300, Czech Republic; [Dobrocky, David] Univ Def Brno, Fac Mil Technol, Kounicova 65, Brno 60200, Czech Republic	Mendel University in Brno; University of Defence - Czech Republic	Pernica, J (corresponding author), Mendel Univ Brno, Fac AgriSci, Zemedelska 1, Brno 61300, Czech Republic.	xper-nic2@mendelu.cz; david.dobrocky@unob.cz	Šustr, Michal/S-8366-2019	Šustr, Michal/0000-0002-3410-6888; Dobrocky, David/0000-0003-1400-3993	project TACR GAMA, Proof of Concept 2 [TP01010018]	project TACR GAMA, Proof of Concept 2	The research has been supported by the project TACR GAMA, Proof of Concept 2, TP01010018.		7	0	0	7	7	Jan Evangelista Purkyne Univ	Usti nad Labem	Pasteurova 3544/1, Usti nad Labem, CZECH REPUBLIC	1213-2489	2787-9402		MANUF TECHNOL	Manuf. Technol.	APR	2022	22	2					200	203		10.21062/mft.2022.017	http://dx.doi.org/10.21062/mft.2022.017			4	Engineering, Manufacturing; Engineering, Mechanical; Materials Science, Multidisciplinary	Emerging Sources Citation Index (ESCI)	Engineering; Materials Science	4W1WF		gold			2022-12-01	WOS:000859956300009
