"date","Participant","QP1","QP2","QP3","QP4","QP5","QP6","QP7","QHS1","QHS2","QHS3","QHS4","QHS5","QHS6","QHS7","QHI1","QHI2","QHI3","QHI4","QHI5","QHI6","QHI7","ATT1","ATT2","ATT3","ATT4","ATT5","ATT6","ATT7"
"Mon Jan  9 10:43:34 2023","4daed6ba-54ef-4c52-a776-a349af39bda0",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:44:49 2023","812cc16a-e1f0-44bc-864f-8a239f76c104",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:45:16 2023","37c46d9b-83df-4902-bfda-176cf88096e6",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:45:51 2023","c3cdb51e-92e9-4b28-bdcf-20800cffafd4",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:46:25 2023","0511698d-ca35-4d99-9a92-1cf5445034b6",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:46:48 2023","88a8d6e5-8465-419e-98f9-5f0487b6c129",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:54:19 2023","fa20c4be-b0cf-43f9-a967-355249c597db",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:54:50 2023","4087823c-bd98-45a2-8184-c06fe65ab14a",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 10:55:21 2023","4d59d2f6-7f1b-4961-8cff-436344ab4115",2,-2,1,-2,-2,-1,1,1,0,1,1,-1,-1,1,0,-1,-2,-1,-1,1,1,-1,1,-2,0,-1,1,0
"Mon Jan  9 12:44:35 2023","647a4c75-386c-41d3-bbaf-81f5cb4ade2b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
